dataset,row_id,column,dimension_quality,rule,observed_value,severity,action
solutions,88,year,VALIDITY,YEAR_OUT_OF_RANGE,1964.0,WARNING,Preserved for investigation
solutions,89,year,VALIDITY,YEAR_OUT_OF_RANGE,1964.0,WARNING,Preserved for investigation
solutions,90,year,VALIDITY,YEAR_OUT_OF_RANGE,1964.0,WARNING,Preserved for investigation
solutions,91,year,VALIDITY,YEAR_OUT_OF_RANGE,1964.0,WARNING,Preserved for investigation
solutions,92,year,VALIDITY,YEAR_OUT_OF_RANGE,1964.0,WARNING,Preserved for investigation
solutions,93,year,VALIDITY,YEAR_OUT_OF_RANGE,1964.0,WARNING,Preserved for investigation
solutions,94,year,VALIDITY,YEAR_OUT_OF_RANGE,1964.0,WARNING,Preserved for investigation
solutions,95,year,VALIDITY,YEAR_OUT_OF_RANGE,1964.0,WARNING,Preserved for investigation
solutions,96,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,97,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,98,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,99,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,100,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,101,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,102,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,103,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,104,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,105,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,106,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,107,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,108,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,109,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,110,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,111,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,112,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,113,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,114,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,115,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,116,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,117,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,118,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
