year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,total
1978,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,690298
1978,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,215248
1978,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,200605
1978,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,672664
1979,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,706625
1979,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,223470
1979,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,206045
1979,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,685793
1980,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,723551
1980,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,230105
1980,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,212053
1980,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,697453
1981,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,736920
1981,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,233881
1981,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,216351
1981,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,707689
1982,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,756487
1982,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,239217
1982,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,223122
1982,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,722965
1983,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,771134
1983,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,252593
1983,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,229433
1983,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,738797
1984,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,790430
1984,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,260270
1984,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,240718
1984,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,775798
1985,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,811260
1985,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,267614
1985,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,247991
1985,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,792997
1986,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,834271
1986,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,274878
1986,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,254293
1986,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,808938
1987,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,859689
1987,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,282757
1987,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,261694
1987,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,828482
1988,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,884040
1988,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,292098
1988,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,269142
1988,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,856639
1989,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,916013
1989,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,296871
1989,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,276547
1989,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,886736
1990,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,943819
1990,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,306471
1990,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,284888
1990,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,931338
1991,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,989207
1991,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,315508
1991,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,294050
1991,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,987508
1992,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,1042123
1992,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,324219
1992,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,306042
1992,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1055436
1993,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,1140199
1993,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,334659
1993,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,321104
1993,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1117275
1994,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,1239811
1994,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,342121
1994,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,332465
1994,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1178777
1995,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,1328768
1995,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,349773
1995,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,342507
1995,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1224996
1996,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,1389603
1996,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,356258
1996,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,352136
1996,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1270333
1997,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,1437371
1997,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,362098
1997,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,361202
1997,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1308438
1998,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,1487449
1998,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,367610
1998,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,370035
1998,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1348288
1999,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,1541405
1999,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,373440
1999,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,378382
1999,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1384655
2000,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,1609566
2000,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,380072
2000,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,387526
2000,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1428891
2001,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,1662227
2001,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,384918
2001,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,396248
2001,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1483394
2002,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,1698271
2002,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,389233
2002,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,405601
2002,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1532589
2003,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,1740170
2003,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,394532
2003,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,413827
2003,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1587920
2004,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,1776669
2004,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,399152
2004,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,421737
2004,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1634952
2005,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,1827877
2005,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,404170
2005,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,432048
2005,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1685851
2006,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,1858362
2006,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,408438
2006,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,442363
2006,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1739266
2007,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,1903490
2007,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,413962
2007,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,451467
2007,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1793901
2008,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,1951603
2008,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,422188
2008,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,461897
2008,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1836123
